id,text,label,notes
S084,Why is this 30 yr old man trying to flirt w/ me at this wedding and talking about getting away with dating younger girls. Sir I will call the authorities,,
S085,"@OldUnclePunch Yes, because we really have that sort of power. Why do brexity types always sound like they are all paranoid conspiracy therorists?",,
S086,"@inkofreality @StrangerTings1 @nytimes You're so close to understanding baseline biasing. You can get there, I believe in you!",,
S087,Petition to call erections social dickstanding,,
S088,shoutout to the assholes at basically every gas station rn filling up multiple gas canisters when i don’t even have enough gas to get home... 🥲,,
S089,Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @SavageXFenty shared helpful links and actually said black lives matter... we love capitalism 🥰🙌🏼,,
S090,Uh oh Ben Simmons will also have a Steph Curry type season 76ers better not trade him now https://t.co/kkpzfcTcSH,,
S091,I just love the weather in Edinburgh have to dress for every season peeing with rain this morning now beautiful blue skys!! Just love getting soaked 😤,,
S092,oh you’re just friends? why’d u shave then?,,
S093,if jesus was resurrected again i would vote for him,,
S094,So you think the vaccine is a bad idea then. Glad you have that PHD in immunology!,,
S095,"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",,
S096,Did you know? Abuse and alcoholism and depression will just ✨disappear✨ if the country is opened completely during a pandemic? #trumpisanidiot #bidenharris2020,,
S097,I think we might want to worry a little more about the risks posed by the Omicron variant than fretting over a Zoom quiz that took place a year ago. Just a thought.,,
S098,"Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",,
S099,I see the govt has run out of lateral flow tests. What a shock.,,
S100,I love when I learn about stuff I've apparently done and said from people😂,,
S101,omg my ships are gonna love what taylor swift has done for them,,
S102,"make it illegal to say/write ""Dems in disarray"" on account of it being stupid as fuck",,
S103,Pregnant and constantly crave KitKats. I literally have been living off of them for the past 4 months. @KitKat_US,,
S104,"if you listen carefully, you can hear me not carig",,
S105,Can't wait to sit at my desk for 7 and half hours. Back working harder than me...,,
S106,Keanu reeves is killing his role in ozark season 3,,
S107,me not turning up to work is a feminist movement actually,,
S108,@TheSpursExpress @JBurtTelegraph I've done this to my employer too. I'm expecting we'll both get the same answer,,
S109,"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis 🧠 https://t.co/lShlgWYGOX",,
S110,I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,,
S111,@TheBabylonBee And the hot air and BS she generates makes for a perfect backup energy source!,,
S112,"Someone in the pub just described the England team as ""a bunch of Marxists"". Makes you proud doesn't it?",,
S113,"Oh, no, totally, don't wear a mask and cough and splutter around me. COVID'll be a fun little time..",,
S114,This is awkward... @hollywills is a Diet Coke ambassador 🤯. #ThisMorning,,
S115,"me: trying to sleep slightly earlier than usual bc I feel like shit my friend, texting the group chat 13 separate times at nearly 4am: hello I don’t think so! how abt I tell u abt how bad things are going instead :)",,
S116,Every time I see an establishment with paper straws I turn a little bit Republican,,
S117,What a wonderful time to have your AC go out https://t.co/jqjqG1dGOa,,
S118,i love ingesting poison and then wondering why my tummy is rumbling the next morning,,
S119,just met the love of my life don't text,,
S120,Drop in Center to let people get the 1st or 2nd Vaccine open today . I went thinking I was able to get my 2nd one . Wait in the que 30 mins .sits down arm ready to get ! Sorry your 12hrs to early !!! We cannot vacinate you till 56 days !!! @NicolaSturgeon #Seriously,,
S121,"My PS4 Pro has P.T on it, which is somewhat funny as it was taken down before the PS4 Pro was even released #konami #PT #SilentHills #Spooky #PlayableTeaser #Kojima",,
S122,people who say that they’re allergic to pineapple are pathological liars!!!!!!!,,
S123,"Afghanistan just completely crumbling after spending over 2 trillion USD and 240,000 human lives over the course of 20 futile years of American occupation sounds amazing in theory, sure. But how are we gonna pay for it? What’s next, chocolate milk for everybody?",,
S124,"@BoardroomBoy Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",,
S125,just your casual reminder that #AllBirthdaysMatter and I can’t stress this enough✨fuck trump✨,,
S126,@jabadgo @Nibellion Don’t run it on a school-provided laptop,,
S127,No longer a female as I refuse to wear heels ever again,,
S128,I reckon I could have put that in the net Morelos sir,,
S129,"Hear me out... The lyrics in ""coney island"" should've been ""lost again with no surprises, disappointments close your EYESES"" Fixed it for you @taylorswift13 😉 #evermorealbum @taylornation13",,
S130,Having morning sickness when you're not actually pregnant is all the fun,,
S131,Man PepsiCo loves to add 750g of sugar to a mixture of their existing flavors of sodas and call it a new flavor of dew or Pepsi...,,
S132,Just tested my egg drop at my apartment complex and it fell on a man’s head :) but no worries he was bald so the yolk just wiped right off,,
S133,I love to pick my modules on a first come first served basis at the same time as everyone in my entire year on a website that hasn’t been updated since 1995 . Thrilling ❤️,,
S134,Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,,
S135,How is it possible that Sly Stallone’s ‘Cobra’ is both the best and the worst movie ever made?,,
S136,#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome ☺️,,
S137,yes it makes perfect sense for harry and ginny to get together. it's not like she was the most boring person ever or anything,,
S138,@KhoaVuUmn Reviewer 2: this is a very weak paper that fails proof of concept. Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this,,
S139,this bruh rly told me “Ur anger issues are my playground🥰” so uhh hmu if u wana be friends bc i need new ones k thx(:,,
S140,too many dudes are wearing birks with socks on. grow up. get the fucking toes out man.,,
S141,does ur dad hate you for no reason or are you normal?,,
S142,"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay! 🤣🙄",,
S143,help! i'm being haunted by dead people! (my dissertations),,
S144,"So the Lions fans think winning one game will change anything? Sure, and I have a bridge to sell you. :)",,
S145,It’s been a blissful 2.5 hours of sleep tonight,,
S146,"I hurt my foot like 3 days ago, I have no idea how, but it hurts to put pressure on it. Love that for me",,
S147,i love when i respond to my professor immediately after she emailed me and i still haven’t gotten a response :)) (it’s been almost 4 hours) :)),,
S148,Entry level jobs that require 3 years prior experience 💕💕 ly 💕💕,,
S149,"There are a bazillion things to do in my small town of Wadsworth. One thing you can do is ride horses on the moon and sing songs with Abe Lincoln in the bar. On top of that, I recommend eating a hundred gallons of ice cream at any local ice cream shop downtown. Some of the flavors that they have are out of this world! Additionally in the winter, I like to go over to a place called kill hill next to the main highway. The hill is up extremely high, you can see the whole world from there! It has to be at least a million feet tall!",,
S150,I just love when Twitter decides to reload the timeline seconds after you just opened it up and are in the middle of reading it.,,
S151,You have to love politics - all talk and no action.,,
S152,"I'd like to thank my current employer for making me feel accepted and valued. It's particularly nice that, whenever I have some suggestions for them, that they seriously consider them and don't just automatically put their fingers in their ears and shout 'I CAN'T HEAR YOU'. Metaphorically.",,
S153,The contract extension with James Franklin will absolutely work out in Penn State's favor.,,
S154,The omicron variant has decided to give us all a wonderful gift for Christmas. For that one day it has chosen to not be spread between people at all. This gift will make me feel a lot better about being around loved ones who still refuse to get the vaccine or to wear a mask at the very least.,,
S155,I like making food and then not eating it to assert my dominance,,
S156,I love a Monday morning so glad the weekends over!,,
S157,@PFTompkins Her family should definitely not seek mental health guidance. 😬,,
S158,my favorite thing about my grandparents is that they're so afraid to talk about me being gay that our catch up phone calls are incredibly short 💘,,
S159,"Hearing I love you is nice and all, but has your SO ever told you to eat shit? 😍😍😍 ugh @samduhclam",,
S160,Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????,,
S161,Boris Johnson is a great leader and all his team stick to the covid rules rules,,
S162,Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.,,
S163,I swear stupid people were put on this earth to test my anger management skills,,
S164,"Man-spider. The story of a spider who's bitten by a human and now has the powers of a human. Working in an office, wasting money on artisan coffee, and giving up his bus seat to a woman who turns out not to be pregnant, but just ""likes sandwiches you a-h*le"". #IntoTheSpiderVerse",,
S165,"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",,
S166,"Sharing is caring, I'm sure your 42 followers wouldn't have slept tonight not having this update from you⸮",,
S167,“I don’t really like partying” Oh is that why you’ve gone to parties twice in the last week? Because you just can’t stand it? Makes complete sense.,,
S168,Gonna go cry now some no face told me to lose weight x,,
S169,Turned 25 today but woke up with $600 from the IRS in my bank account so quarter life crisis has been postponed,,
S170,How does one find motivation to do basically anything? Asking for a friend.,,
S171,I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,,
S172,"I unsubscribe from being an adult, its not for me",,
S173,is this an earthquake because i am shook right now,,
S174,Gosh sunderland twitter is a fun place to be tonight isn't it. One game. One game!!!,,
S175,"Oh wow, trolls really have a lot of time on there hands, jeez 🙄 they really don’t like getting banned #twitchtrolls",,
S176,do you think when a middle aged white man goes to buy a big lifted brand new F150 they check to make sure his penis is incredibly small?? or do they just take his word for it,,
S177,You know the one thing I really wish I could see? I want a Piers Morgan esque interview with #LilleeJean where she's forced to explain her shitty behaviour and see if she storms off or comes up with some BS to make her look cute and innocent. It'd be a fun watch.,,
S178,you know what’s a novel concept? rapists and sexual assaulters not only ruin the lives of their victims but also THEIR OWN LIVES. yeah. not the victims testifying. maybe if you didn’t want rape accusations then DON’T RAPE. also a novel concept.,,
S179,The Prime Minister is an honest Injun as honest as midsummer's day is long,,
S180,safe to say my life is a lot better https://t.co/pE5isUMOpk https://t.co/K2hep49TcF,,
S181,"My poo is green, how festive.",,
S182,"@kittin_knittin According to a Trump republican, that's relative to Penis size. There's a video. Lol",,
S183,"When you're feeling all in your feelings, but a certain BEST FRIEND is making you see reason, and maybe you'll be okay. So damn rude. 😤 @LadyDeadlight",,
S184,@abhiishekkkkkk @FCBGox Did you even watch a single la Liga madrid game last season bruh Varane isn’t that good anymore,,
S185,yo @claires do yall do hysterectomies?,,
S186,The most 2020 quote of the year: Me: we should go to the Van Gogh Museum! Little Brother: is that the donny with one ear?,,
S187,I wish that grilled cheese helped you get that summer bod,,
S188,Boris looked so statesman-like in that public address,,
S189,"Bart is closed rn in Oakland so I can’t go to work, I’m so upset....",,
S190,Just dislocated my fucking knee again while out on a walk 🙃🙃🙃 FAB,,
S191,Isn't it just amazing how competent the government are. You know everything is fine when we have a trustworthy PM who doesn't blatantly lie through his teeth. Everything is so great right now!!,,
S192,@tylerthecreator @staci_zr can i use this chiamus for my ap lang speech about parallelism lmao,,
S193,Whoop diddy scoop poop,,
S194,Love it wen people try and stop my friends seeing me! Looooolll.,,
S195,So the Scottish Government want people to get their booster shots so badly that the website doesn't even work,,
S196,"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",,
S197,Been trying to get my boyfriends attention. Let’s see how long it takes for him to see this tweet tho.,,
S198,"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.",,
S199,It's so weird how I look ugly in photos but I also look ugly in the mirror,,
S200,"@DylanPetit17 @jaredj5 Let's listen to Dylan Petit over actually doctors, biologists and epidemiologists. 🙄",,
S201,"Are GoFundMe accounts a form of socialism? I don’t have enough money to pay my bills, so let me create an account an ask for money to help pay my bills. ??",,
S202,@SrutisJay one of them smonks weed so it's super worth it /s,,
S203,"Wish I was the bitch that Elijah hewson fucking hated, sad :(",,
S204,I would do so much for people that would do absolutely nothing for me lol at least i know who my true friends are😀,,
S205,Birds are not real and you cannot tell me otherwise.,,
S206,Is this first Cybex isokinetic dynamometer? @DrAndrewBateman #PRS2021,,
S207,I never feel more empowered than when I’m listening to ‘this is me’ from camp rock,,
S208,The fair-weather fans in all of these threads. Wake up call. Fleury is a human being. Surprise!,,
S209,“The App Store [is]... an economic miracle” 🙄 but Apple magic not working today at #AntiTrustHearings #Apple stifles innovation that is the lifeblood of our economy. -Lucy McBath speaking some truth today #HouseJudiciary https://t.co/2swhC9daBM,,
S210,I swear this triller event is run by teenagers,,
S211,"@JasperSmiith @LentonDNRA @ShearerWest @registrarism @UniofNottingham @CllrDaveTrimble @SallyLongford @CllrDavidMellen @LilianGreenwood @MyLWE @MyNottingham Yeah just a coincidence that infection rates go up and down dependent on when students are in the area or not, also tallies in with the parties being attended by up to 3 times the amount of allowed attendees. Definitely not students 🤔🤦🏽‍♀️🙄",,
S212,"@banalincolnlogs red among us guy, hes hot dont come for me",,
S213,every date I go on I get a little scared will be phone swap,,
S214,"I never thought I'd say this, but I have become one of those people who like bounty bars.",,
S215,What’s one of the best parts of parenting you ask? Putting your hand down and finding it’s wet from an unknown liquid 😩😩😩,,
S216,I really haven't a clue why people think GP's aren't working when you look at all the supportive news headlines around!,,
S217,"So my Twitter feed has to show me what tweets people I follow like. ...😐 If I unfollowed you, just know I'm tired of seeing porn",,
S218,@Ciara87C @RachaelSmarty @SashaHumphreys2 my tinder convos have been leaked,,
S219,"Thanks @Tesco for not informing me that my click and collect order had been cancelled when my account says it's ready to collect my partner has had to travel unnecessarily to Stafford and we still don't have our shopping, good diet I guess having to wait for my 26th delivery slot https://t.co/xq9oXEkw8o",,
S220,"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare https://t.co/0c2IfIpy8l",,
S221,"wow, ok, unfollowing now. Was a big fan of putting your left leg in, but just heard about taking your left leg out",,
S222,Don't let people walk all over you. Or breathe on you. Either one.,,
S223,July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. Can’t wait for part 2. #murderhornets,,
S224,Elaine Quijano exhibits roughly the same amount of control over this debate as two rabbits do on their first date.,,
S225,i’m going to cut off contact with every single person i know and emerge in a few months o a year from now having lost the ability to physically speak but be able to play the meanest fucking accordion you’ve ever heard in your pathetic little life,,
S226,@avsmph But how can we possibly deal with a human experience we haven't first relentlessly quantified???,,
S227,"Thanks to India for being so inept. I was hoping for a full day of cricket, got snacks and everything. Cheers. You could have at least tried. #bbccricket #INDvENG #ENGvsIND #Cricket",,
S228,@Chris_Ransom @CityView1904 @Uzzell01 @BBCSport Aware she was not a tennis player when she left Canada at 2 yrs old?? aware she did not pick up a tennis racket until 6 years old??.aware last12 years trained at the same tennis club in Bromley Kent England??the girl is British no haters or doubters will take that away from her,,
S229,Ain’t never really had a daddy so I’ll never really need one 🤷🏾‍♀️,,
S230,As a woman I dont need hobbies dreams or goals cause I can spend all my time wondering why he didnt text back crying into a bag of doughnuts,,
S231,I love how Instagram can motivate people. I saw a post by Kim Kardashian and I was motivated to delete my account.,,
S232,I miss walking up 3 flights of stairs for class and having to catch my breath in the bathroom 😩,,
S233,Always glad to live in Kent 🙈🙈,,
S234,"me: revises cells + other general biology stuff edexcel: ""i want a fit summer bod, get them to tell me how i get one"" #EdexcelBiology #Gcses2018",,
S235,@kidcuisine98 Based confidence and believing in proper eye contact-pilled!,,
S236,I think women should be able to join men's sports teams and vice versa. I really don't see any problem with for example having a 5 foot 3 inches slim women versus a 300 pound heavyweight boxer because i feel like women are very much equal to any man. Even much faster and stronger men. If anybody takes offense to my point then they need to reevaluate their lives as their are no man that could do anything better than a lady.,,
S237,"I find it hilarious that ‘black and white’ or ‘all or nothing’ thinking is considered a cognitive distortion and is a symptom of several disorders, and yet it remains a pillar of American (and Western) culture. It’s almost like…. our culture is toxic 🤔",,
S238,@ThomasCabaret84 @MicrobiomDigest @raoult_didier Surely you’re not suggesting that their own thorough investigation of their own suspected &lt;fraud&gt; (which found no evidence for said &lt;fraud&gt;) was carried out with anything but the very highest levels of integrity? Seems completely legit to me…,,
S239,"Quarantine Day 256: Dear Ancient Greeks, re: the blanket-wearing—I get it. #QuarantineLife",,
S240,hey guys! i’m so happy to announce that i’m officially brain dead ☺️,,
S241,Love it when I get disturbed three times in the bath to be asked where things in the house are!!,,
S242,Beautician and the Beast (1997). Best Timothy Dalton film of all time.,,
S243,"I see Dettol, Toilet Duck and Zoflora are all trending on Twitter. Now why could that be... #TrumpPressBriefing",,
S244,@MollyJongFast I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,,
S245,West Ham beat Chelsea? Really?? Did that really happen or did I dream it? I for o e am in shock! I never thought I would see the day!,,
S246,"🌶 Spiced Coconut curry 🥥 . A weekend spent with friends brings a week of content... or something like that 😜 . Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u",,
S247,"If the sound of the rain outside wasn’t bad enough I’ve now got my neighbours climbing onto their roof and shouting ‘I love blowjobs’, perfect background noise for me trying to study 👍🏻",,
S248,"Just signed up for Apple's Ping, told it I like 'classical' and it points me towards Lady Gaga. It takes a certain genius to be this crap.",,
S249,"Day 2348 in lockdown. Never in my life did I think I would utter the words ""I've disinfected the chocolate"". #coronalockdownuk",,
S250,Why am I not famous yet cos I’m actually fucking hilarious,,
S251,I don't know. Why wouldn't I actually love people dying everywhere with none of the people that can help doing anything about it?????,,
S252,Does anyone not know Prince Harry got engaged? I don’t think there’s been enough in the news about it.,,
S253,6 more hours and then a whoppingly massive 2days off work! wowzers!,,
S254,but clinton's emails! oh. emm. fucking. gee. clinton's god damnèd emails. the humanity of it all. 🤮 https://t.co/cibY5Tn9s6,,
S255,Really really happy to be woken up at 6:30am again by the next door neighbour’s dog barking. Thanks a lot for that I appreciate it loads🤨,,
S256,really honoured to have shared a coach today with a group of girls who didn’t know downing street was real and thought the prime minister and the queen lived together at buckingham palace,,
S257,"It's nice to see some heritage organisations are doing the right thing and putting the safety of their staff, visitors and volunteers first. Wonder what that's like... ...for reasons, this is aimed at nobody.",,
S258,@SuspendThePres But what were the ratings?? (Replied to his Tweet with the same thing.),,
S259,"@FeeyaCruz Ahahahaha the Feeya I know and love, miss u 😢",,
S260,maybe i am a cyber bully,,
S261,I wonder if there’s a parenting manual for schools to hand out?. Some parents could really use the guidance…,,
S262,love seeing that my mom has officially started posting about the horse worm medicine being good for covid actually and they’re just trying to make it look bad bc it’s so cheap 🤪,,
S263,Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days 😭 tempted to quit teaching tbh,,
S264,All the shade i have been hearing about Ben Platt being unbelievable as a teenager in the @DearEvanHansen movie boggles me. Does nobody have any memories of Grease??? Name 1 actor on that film who believably looked high school age!,,
S265,Wtf is a Justin Herbert,,
S266,i wish i could tap in to the government bank account🙄🙄🙄,,
S267,"@richardosman @GMB @susannareid100 @piersmorgan You've a book out? I hadn't realised. Yes, you've already read this 8763 times this week, but hey.",,
S268,It makes me feel a lot safer knowing the MET Police don't investigate crimes after they happen.,,
S269,thanks @SovietWomble for ratting my location out on stream and then embarrassing me 😂 it made my day though https://t.co/3b7Cjql2GO,,
S270,Shaving in the shower without your glasses/contacts is EXACTLY like performing blind surgery 👀🔪,,
S271,"@BIGRXD12 ah yes, people with eating disorders, famous for easily being able to not worry about their weight",,
S272,we need to normalise having absolutely fried bleach damaged hair. people should talk about this,,
S273,It really bugs me when teachers uncap and recap highlighters three or four times per book when marking - Poor time management! #efficiency,,
S274,Taxes are just the best and I cannot wait to pay more 😇🥰🥺,,
S275,we used to make fun of rich men for using 3in1 turns out they were never using anything at all 🤮,,
S276,2 x sand eating toddlers for sale. No previous owners. DM for details x,,
S277,So weird how Venmo hasn’t venmoed me yet really thought I was the one,,
S278,I never thought I’d have a mortal enemy but it’s whoever keeps printing on blue paper and then leaving like 5-10 blue sheets in the math room copier when they’re done for the next unsuspecting person,,
S279,I really hate the new TikTok voice over voice - she sound annoying af,,
S280,Drum and bass is dangerous stuff don't you know.. #FabricReview 🙏🏻🙏🏻🙏🏻,,
S281,wow this growth spurt is really taking longer than i thought haha,,
S282,"""Do a PhD, it'll be fun and rewarding,"" said no clinically sane person. Ever. I repeat. Ever.",,
S283,"@kagune_kun despicable tweet, my liege",,
