key,status,score,doi,note,crossref_title,crossref_container,crossref_year,our_year,our_venue
wu2021one,OK,1.0,10.18653/v1/2021.findings-acl.387,,One Teacher is Enough? Pre-trained Language Model Distillation from Multiple Teachers,Findings of the Association for Computational Linguistics: A,2021,2021,Findings of the Association for Computational Linguistics: A
zou2025dynamic,OK-DOI-OVERRIDE,1.0,10.1016/j.eswa.2024.125599,,Dynamic multi teacher knowledge distillation for semantic parsing in KBQA,Expert Systems with Applications,2025,2025,Expert Systems with Applications
passalis2020heterogeneous,OK,1.0,10.1109/cvpr42600.2020.00241,,Heterogeneous Knowledge Distillation Using Information Flow Modeling,2020 IEEE/CVF Conference on Computer Vision and Pattern Reco,2020,2020,Proceedings of the IEEE/CVF Conference on Computer Vision an
uma2021learning,OK,1.0,10.1613/jair.1.12752,,Learning from Disagreement: A Survey,Journal of Artificial Intelligence Research,2021,2021,Journal of Artificial Intelligence Research
davani2022dealing,OK,1.0,10.1162/tacl_a_00449,,Dealing with Disagreements: Looking Beyond the Majority Vote in Subjective Annotations,Transactions of the Association for Computational Linguistic,2022,2022,Transactions of the Association for Computational Linguistic
plank2022problem,OK,1.0,10.18653/v1/2022.emnlp-main.731,,"The “Problem” of Human Label Variation: On Ground Truth in Data, Modeling and Evaluation",Proceedings of the 2022 Conference on Empirical Methods in N,2022,2022,Proceedings of the 2022 Conference on Empirical Methods in N
peterson2019human,OK,1.0,10.1109/iccv.2019.00971,,Human Uncertainty Makes Classification More Robust,2019 IEEE/CVF International Conference on Computer Vision (I,2019,2019,Proceedings of the IEEE/CVF International Conference on Comp
devlin2019bert,OK,1.0,10.18653/v1/n19-1423,,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Proceedings of the 2019 Conference of the North American Cha,2019,2019,Proceedings of the 2019 Conference of the North American Cha
liu2019roberta,OK-NODOI,0.613,,arXiv only,COVID-19 Vaccine News Headline: A Sentiment Analysis with Robustly Optimized BERT Pretrain,JOIV : International Journal on Informatics Visualization,2025,2019,arXiv preprint arXiv:1907.11692
he2023debertav3,OK-NODOI,0.464,,ICLR; cite with arXiv id,NucEL: Single-Nucleotide ELECTRA-Style Genomic Pre-training for Efficient and Interpretabl,,2025,2023,The Eleventh International Conference on Learning Representa
loshchilov2019decoupled,OK-NODOI,0.53,,ICLR; cite with arXiv id,Understanding Decoupled and Early Weight Decay,Proceedings of the AAAI Conference on Artificial Intelligenc,2021,2019,7th International Conference on Learning Representations (IC
wolf2020transformers,OK-DOI-OVERRIDE,1.0,10.18653/v1/2020.emnlp-demos.6,,Transformers: State-of-the-Art Natural Language Processing,Proceedings of the 2020 Conference on Empirical Methods in N,2020,2020,Proceedings of the 2020 Conference on Empirical Methods in N
paszke2019pytorch,OK-NODOI,0.598,,NeurIPS proceedings; cite with arXiv id,"Scaling TensorFlow, PyTorch, and MXNet using MVAPICH2 for High-Performance Deep Learning o",2019 IEEE/ACM Third Workshop on Deep Learning on Supercomput,2019,2019,Advances in Neural Information Processing Systems 32 (NeurIP
schwartz2020green,OK-DOI-OVERRIDE,1.0,10.1145/3381831,,Green AI,Communications of the ACM,2020,2020,Communications of the ACM
brown2020language,OK-NODOI,1.0,,NeurIPS proceedings; cite with arXiv id,Language Models are Few-Shot Learners,Neural Horizons The Uncharted Future of Deep Learning,2026,2020,Advances in Neural Information Processing Systems 33 (NeurIP
patterson2021carbon,OK-NODOI,0.451,,arXiv only,Training of Large-Scale Feed-Forward Neural Networks,The 2006 IEEE International Joint Conference on Neural Netwo,2006,2021,arXiv preprint arXiv:2104.10350
zhou2019edge,OK,1.0,10.1109/jproc.2019.2918951,,Edge Intelligence: Paving the Last Mile of Artificial Intelligence With Edge Computing,Proceedings of the IEEE,2019,2019,Proceedings of the IEEE
fleiss1971measuring,OK,1.0,10.1037/h0031619,,Measuring nominal scale agreement among many raters.,Psychological Bulletin,1971,1971,Psychological Bulletin
koehn2004statistical,OK-NODOI,0.77,,https://aclanthology.org/W04-3250,Significance tests of automatic machine translation evaluation metrics,Machine Translation,2010,2004,Proceedings of the 2004 Conference on Empirical Methods in N
dror2018hitchhiker,OK-DOI-OVERRIDE,1.0,10.18653/v1/p18-1128,,The Hitchhiker’s Guide to Testing Statistical Significance in Natural Language Processing,Proceedings of the 56th Annual Meeting of the Association fo,2018,2018,Proceedings of the 56th Annual Meeting of the Association fo
guo2017calibration,OK-NODOI,0.681,,https://proceedings.mlr.press/v70/guo17a.html,Sensor calibration using artificial neural networks,International Joint Conference on Neural Networks,1989,2017,Proceedings of the 34th International Conference on Machine 
