id,source,split,flagged,p_bullying,pred_class
S144,iSarcasmEval,test,True,0.8460822597685242,other_cyberbullying
S145,iSarcasmEval,train,False,,
S146,iSarcasmEval,train,False,,
S147,iSarcasmEval,train,True,0.8414537837982139,other_cyberbullying
S148,iSarcasmEval,train,True,0.8911359070257443,other_cyberbullying
S149,iSarcasmEval,test,True,0.9376153422471843,age
S150,iSarcasmEval,train,True,0.8778888374741641,other_cyberbullying
S151,iSarcasmEval,test,False,,
S152,iSarcasmEval,test,True,0.8593834173336714,other_cyberbullying
S153,iSarcasmEval,test,False,,
S154,iSarcasmEval,test,True,0.8141527203139876,other_cyberbullying
S155,iSarcasmEval,train,False,,
S156,iSarcasmEval,test,False,,
S157,iSarcasmEval,train,False,,
S158,iSarcasmEval,train,True,0.9000141378866661,other_cyberbullying
S159,iSarcasmEval,train,False,,
S160,iSarcasmEval,train,True,0.8771920838847406,other_cyberbullying
S161,iSarcasmEval,test,False,,
S162,iSarcasmEval,train,True,0.8135940429680615,other_cyberbullying
S163,iSarcasmEval,test,True,0.9618110209829148,other_cyberbullying
S164,iSarcasmEval,train,True,0.9318836290423146,religion
S165,iSarcasmEval,train,True,0.9413430415922006,age
S166,iSarcasmEval,test,True,0.825623729187408,other_cyberbullying
S167,iSarcasmEval,train,False,,
S168,iSarcasmEval,train,False,,
S169,iSarcasmEval,train,True,0.8050567792284726,other_cyberbullying
S170,iSarcasmEval,train,True,0.9175482610647702,ethnicity
S171,iSarcasmEval,train,True,0.8732481573444612,age
S172,iSarcasmEval,train,False,,
S173,iSarcasmEval,train,False,,
S174,iSarcasmEval,train,True,0.9256785589126644,other_cyberbullying
S175,iSarcasmEval,train,True,0.8755314608786404,other_cyberbullying
S176,iSarcasmEval,train,False,,
S177,iSarcasmEval,train,True,0.8332631030202358,age
S178,iSarcasmEval,train,True,0.9444585923301592,gender
S179,iSarcasmEval,test,False,,
S180,iSarcasmEval,train,True,0.8293968788418392,other_cyberbullying
S181,iSarcasmEval,train,False,,
S182,iSarcasmEval,train,True,0.994346461302504,other_cyberbullying
S183,iSarcasmEval,train,False,,
S184,iSarcasmEval,train,False,,
S185,iSarcasmEval,train,True,0.8650431394079908,other_cyberbullying
S186,iSarcasmEval,train,False,,
S187,iSarcasmEval,train,False,,
S188,iSarcasmEval,test,True,0.8042269712931011,other_cyberbullying
S189,iSarcasmEval,train,True,0.866880391280463,other_cyberbullying
S190,iSarcasmEval,train,True,0.9305149601269408,other_cyberbullying
S191,iSarcasmEval,test,True,0.9066538265196248,other_cyberbullying
S192,iSarcasmEval,train,True,0.8214184462491225,other_cyberbullying
S193,iSarcasmEval,train,False,,
S194,iSarcasmEval,train,False,,
S195,iSarcasmEval,test,False,,
S196,iSarcasmEval,train,True,0.9645174654772998,other_cyberbullying
S197,iSarcasmEval,train,False,,
S198,iSarcasmEval,train,False,,
S199,iSarcasmEval,test,True,0.9430148540877226,other_cyberbullying
S200,iSarcasmEval,train,False,,
S201,iSarcasmEval,train,True,0.9742601954228998,other_cyberbullying
S202,iSarcasmEval,train,True,0.8447300892652629,other_cyberbullying
S203,iSarcasmEval,train,True,0.9351264591471472,other_cyberbullying
S204,iSarcasmEval,train,False,,
S205,iSarcasmEval,test,True,0.8130254870933435,other_cyberbullying
S206,iSarcasmEval,train,False,,
S207,iSarcasmEval,train,False,,
S208,iSarcasmEval,train,True,0.8328508699635908,other_cyberbullying
S209,iSarcasmEval,train,True,0.9063908912690204,other_cyberbullying
S210,iSarcasmEval,train,True,0.8344336265088145,other_cyberbullying
S211,iSarcasmEval,train,True,0.8410884484903011,age
S212,iSarcasmEval,train,False,,
S213,iSarcasmEval,train,True,0.9669634576432664,other_cyberbullying
S214,iSarcasmEval,train,True,0.8934908843812331,other_cyberbullying
S215,iSarcasmEval,test,False,,
S216,iSarcasmEval,test,True,0.9027223057223288,other_cyberbullying
S217,iSarcasmEval,train,True,0.9220648214103884,other_cyberbullying
S218,iSarcasmEval,train,False,,
S219,iSarcasmEval,train,True,0.8172360028312669,other_cyberbullying
S220,iSarcasmEval,train,True,0.9264603058112828,other_cyberbullying
S221,iSarcasmEval,train,True,0.844353246109925,other_cyberbullying
S222,iSarcasmEval,train,False,,
S223,iSarcasmEval,train,False,,
S224,iSarcasmEval,train,True,0.8196486073768476,ethnicity
S225,iSarcasmEval,train,True,0.9480886795151288,age
S226,iSarcasmEval,train,False,,
S227,iSarcasmEval,train,True,0.8541049955797246,other_cyberbullying
S228,iSarcasmEval,train,True,0.8783463996207089,religion
S229,iSarcasmEval,train,False,,
S230,iSarcasmEval,train,False,,
S231,iSarcasmEval,test,True,0.9268201220674817,other_cyberbullying
S232,iSarcasmEval,train,False,,
S233,iSarcasmEval,train,False,,
S234,iSarcasmEval,train,False,,
S235,iSarcasmEval,train,False,,
S236,iSarcasmEval,test,True,0.9543981554844296,gender
S237,iSarcasmEval,train,True,0.9216823039634298,ethnicity
S238,iSarcasmEval,train,True,0.874146724753432,ethnicity
S239,iSarcasmEval,train,False,,
S240,iSarcasmEval,train,False,,
S241,iSarcasmEval,test,False,,
S242,iSarcasmEval,train,False,,
S243,iSarcasmEval,train,True,0.8134393248022058,other_cyberbullying
S244,iSarcasmEval,train,True,0.9253043738948248,other_cyberbullying
S245,iSarcasmEval,test,False,,
S246,iSarcasmEval,train,True,0.8247368250071629,other_cyberbullying
S247,iSarcasmEval,train,False,,
S248,iSarcasmEval,train,False,,
S249,iSarcasmEval,train,False,,
S250,iSarcasmEval,train,True,0.9745051207696444,other_cyberbullying
S251,iSarcasmEval,test,True,0.8614875551445789,other_cyberbullying
S252,iSarcasmEval,train,True,0.9166524364092998,other_cyberbullying
S253,iSarcasmEval,train,True,0.8401696344205843,other_cyberbullying
S254,iSarcasmEval,train,True,0.990148323490454,other_cyberbullying
S255,iSarcasmEval,test,True,0.8404873338733382,other_cyberbullying
S256,iSarcasmEval,train,True,0.8623036212950788,age
S257,iSarcasmEval,train,True,0.9179765336447367,other_cyberbullying
S258,iSarcasmEval,train,True,0.8805093026810211,other_cyberbullying
S259,iSarcasmEval,train,False,,
S260,iSarcasmEval,train,True,0.934002120086996,other_cyberbullying
S261,iSarcasmEval,test,True,0.8750229059192107,age
S262,iSarcasmEval,train,True,0.9172125684621762,age
S263,iSarcasmEval,train,False,,
S264,iSarcasmEval,train,True,0.9558902056792944,age
S265,iSarcasmEval,train,True,0.8755503739621642,other_cyberbullying
S266,iSarcasmEval,train,True,0.8070425344539126,other_cyberbullying
S267,iSarcasmEval,train,False,,
S268,iSarcasmEval,test,True,0.838567513093398,other_cyberbullying
S269,iSarcasmEval,train,False,,
S270,iSarcasmEval,train,False,,
S271,iSarcasmEval,train,True,0.9165016141450284,other_cyberbullying
S272,iSarcasmEval,train,True,0.9179073579041528,other_cyberbullying
S273,iSarcasmEval,train,True,0.8036323034882236,other_cyberbullying
S274,iSarcasmEval,train,False,,
S275,iSarcasmEval,train,False,,
S276,iSarcasmEval,train,False,,
S277,iSarcasmEval,train,True,0.8052101841543058,other_cyberbullying
S278,iSarcasmEval,train,True,0.9125866858368056,other_cyberbullying
S279,iSarcasmEval,train,True,0.918937448885284,gender
S280,iSarcasmEval,train,False,,
S281,iSarcasmEval,train,False,,
S282,iSarcasmEval,test,True,0.951132180333921,other_cyberbullying
S283,iSarcasmEval,train,True,0.8134451439215983,other_cyberbullying
S284,iSarcasmEval,train,False,,
S285,iSarcasmEval,train,False,,
S286,iSarcasmEval,train,False,,
S287,iSarcasmEval,train,True,0.823329009952482,other_cyberbullying
S288,iSarcasmEval,test,True,0.8406178858097947,other_cyberbullying
S289,iSarcasmEval,train,True,0.8209368853486847,age
S290,iSarcasmEval,train,True,0.8654654185901145,other_cyberbullying
S291,iSarcasmEval,train,True,0.875695698868195,other_cyberbullying
S292,iSarcasmEval,train,False,,
S293,iSarcasmEval,train,True,0.8448436311416636,other_cyberbullying
S294,iSarcasmEval,train,False,,
S295,iSarcasmEval,train,True,0.9514158436311824,ethnicity
S296,iSarcasmEval,train,False,,
S297,iSarcasmEval,train,True,0.8933662673043234,other_cyberbullying
S298,iSarcasmEval,train,True,0.8604035617778074,ethnicity
S299,iSarcasmEval,train,False,,
S300,iSarcasmEval,train,True,0.8642844800861846,gender
